element,mass_number,half_life,half_life_s
Sb,125,2.758 y,87035860.8
Sb,124,60.20 d,5201280.0
Sb,122,2.72 d,235008.00000000003
Sb,120,15.89 min,953.4000000000001
Sb,119,38.2 h,137520.0
Sb,118,3.6 min,216.0
Sb,117,23 s,23.0
Sb,116,60 s,60.0
Sb,115,32 min,1920.0
Sb,114,3.49 min,209.4
Sb,113,6.67 min,400.2
Sb,112,58 s,58.0
Sb,111,2.55 min,153.0
Sb,110,1.44 min,86.39999999999999
Sb,109,1.08 min,64.80000000000001
Sb,108,38 s,38.0
Sb,107,23 s,23.0
Sn,123,129.2 d,11162879.999999998
Sn,121,27.0 h,97200.0
Sn,119,293 d,25315200.0
Sn,113,115 d,9936000.0
Sn,111,35.3 min,2118.0
Sn,110,4.11 h,14796.000000000002
Sn,109,18.0 min,1080.0
Sn,108,10.3 min,618.0
Sn,107,2.9 min,174.0
Sn,106,115 s,115.0
In,123,6.17 s,6.17
In,122,1.5 s,1.5
In,121,23.1 s,23.1
In,120,3.08 s,3.08
In,119,2.42 min,145.2
In,118,2.4 min,144.0
In,117,43.2 min,2592.0
In,116,14.1 s,14.1
In,114,71.9 s,71.9
In,112,14.88 min,892.8000000000001
In,111,2.80 d,241919.99999999997
In,110,4.9 h,17640.0
In,109,4.159 h,14972.4
In,108,58 min,3480.0
In,107,32.4 min,1944.0
In,106,6.23 min,373.8
In,105,5.07 min,304.20000000000005
Cd,122,5.24 s,5.24
Cd,121,13.5 s,13.5
Cd,120,50.8 s,50.8
Cd,119,2.69 min,161.4
Cd,118,50.3 min,3018.0
Cd,117,2.503 h,9010.800000000001
Cd,115,53.4 h,192240.0
Cd,109,461.98 d,39915072.0
Cd,107,6.52 h,23472.0
Cd,105,55.4 min,3324.0
Cd,104,57.8 min,3468.0
Ag,120,1.52 s,1.52
Ag,119,6 s,6.0
Ag,118,3.87 s,3.87
Ag,117,72.8 s,72.8
Ag,116,3.83 min,229.8
Ag,115,20 min,1200.0
Ag,114,4.59 s,4.59
Ag,113,5.37 h,19332.0
Ag,112,3.15 h,11340.0
Ag,111,7.421 d,641174.4
Ag,110,24.56 s,24.56
Ag,108,2.39 min,143.4
Ag,106,23.96 min,1437.6000000000001
Ag,105,41.29 d,3567456.0
Ag,104,69.3 min,4158.0
Ag,103,65.8 min,3948.0
Pd,118,1.9 s,1.9
Pd,117,4.3 s,4.3
Pd,116,11.7 s,11.7
Pd,115,25 s,25.0
Pd,114,2.42 min,145.2
Pd,113,89 s,89.0
Pd,112,21.027 h,75697.2
Pd,111,23.6 min,1416.0
Pd,109,13.437 h,48373.2
Pd,103,17 d,1468800.0
Rh,114,1.82 s,1.82
Rh,113,2.8 s,2.8
Rh,112,3.5 s,3.5
Rh,111,11 s,11.0
Rh,110,3.3 s,3.3
Rh,109,80.8 s,80.8
Rh,108,17 s,17.0
Rh,107,21.7 min,1302.0
Rh,106,30.07 s,30.07
Rh,105,35.341 h,127227.6
Rh,104,42.3 s,42.3
Rh,102,207.3 d,17910720.0
Rh,101,4.07 y,128439432.00000001
Ru,112,1.75 s,1.75
Ru,111,2.12 s,2.12
Ru,110,12.04 s,12.04
Ru,109,34.4 s,34.4
Ru,108,4.55 min,273.0
Ru,107,3.73 min,223.8
Ru,106,371.8 d,32123520.0
Ru,105,4.44 h,15984.000000000002
Ru,103,39.247 d,3390940.8
